"subjno","dayno","beepno","informat04","st_period","opgewkt_","onplplez","pieker","angstig_","somber__","ontspann","neur"
"1",10720,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA
"2",10720,1,2,NA,0,NA,NA,NA,NA,NA,NA,NA
"3",10720,1,3,NA,0,NA,NA,NA,NA,NA,NA,NA
"4",10720,1,4,0,0,4,3,6,5,4,2,34
"5",10720,1,5,0,0,2,1,5,4,4,2,34
"6",10720,1,6,0,0,3,2,5,3,5,5,34
"7",10720,1,7,NA,0,NA,NA,NA,NA,NA,NA,NA
"8",10720,1,8,0,0,2,2,6,5,3,2,34
"9",10720,1,9,NA,0,NA,NA,NA,NA,NA,NA,NA
"10",10720,1,10,NA,0,NA,NA,NA,NA,NA,NA,NA
"11",10720,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"12",10720,2,1,0,0,5,2,5,3,5,5,34
"13",10720,2,2,0,0,5,-3,6,2,3,5,34
"14",10720,2,3,0,0,3,1,6,3,5,3,34
"15",10720,2,4,0,0,5,-2,5,3,4,4,34
"16",10720,2,5,NA,0,NA,NA,NA,NA,NA,NA,NA
"17",10720,2,6,0,0,4,2,4,2,3,5,34
"18",10720,2,7,NA,0,NA,NA,NA,NA,NA,NA,NA
"19",10720,2,8,0,0,4,2,5,2,2,5,34
"20",10720,2,9,0,0,5,3,2,1,2,6,34
"21",10720,2,10,0,0,6,3,2,1,2,5,34
"22",10720,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"23",10720,3,1,NA,0,NA,NA,NA,NA,NA,NA,NA
"24",10720,3,2,0,0,3,2,5,2,4,3,34
"25",10720,3,3,0,0,3,-2,5,2,3,2,34
"26",10720,3,4,0,0,4,-3,5,1,3,4,34
"27",10720,3,5,0,0,4,2,5,2,3,5,34
"28",10720,3,6,0,0,5,3,3,2,2,5,34
"29",10720,3,7,0,0,5,3,5,2,2,5,34
"30",10720,3,8,0,0,5,3,3,1,2,6,34
"31",10720,3,9,0,0,4,3,5,2,2,2,34
"32",10720,3,10,0,0,4,-2,5,1,3,2,34
"33",10720,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"34",10720,4,1,0,0,3,2,5,2,5,4,34
"35",10720,4,2,0,0,3,-3,6,2,5,4,34
"36",10720,4,3,0,0,5,3,5,2,2,5,34
"37",10720,4,4,0,0,3,0,6,2,5,5,34
"38",10720,4,5,0,0,4,2,5,2,3,5,34
"39",10720,4,6,0,0,5,3,5,2,2,5,34
"40",10720,4,7,0,0,4,1,5,2,3,4,34
"41",10720,4,8,0,0,3,-3,5,2,4,3,34
"42",10720,4,9,0,0,3,0,5,2,5,3,34
"43",10720,4,10,0,0,3,2,6,4,5,3,34
"44",10720,4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"45",10720,5,1,NA,0,NA,NA,NA,NA,NA,NA,NA
"46",10720,5,2,0,0,4,0,6,1,5,2,34
"47",10720,5,3,0,0,4,1,3,2,3,5,34
"48",10720,5,4,0,0,4,2,5,2,5,4,34
"49",10720,5,5,0,0,4,0,5,1,3,4,34
"50",10720,5,6,0,0,3,1,4,1,4,4,34
"51",10720,5,7,0,0,4,2,5,1,3,5,34
"52",10720,5,8,0,0,5,2,4,1,2,5,34
"53",10720,5,9,0,0,3,3,6,2,5,4,34
"54",10720,5,10,0,0,5,2,6,2,3,5,34
"55",10720,5,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"56",10720,6,1,NA,0,NA,NA,NA,NA,NA,NA,NA
"57",10720,6,2,0,0,3,-3,5,2,5,3,34
"58",10720,6,3,0,0,4,2,5,1,3,4,34
"59",10720,6,4,0,0,4,2,5,2,3,4,34
"60",10720,6,5,0,0,4,2,4,2,3,5,34
"61",10720,6,6,0,0,5,1,4,2,3,5,34
"62",10720,6,7,NA,0,NA,NA,NA,NA,NA,NA,NA
"63",10720,6,8,0,0,4,-1,4,2,2,4,34
"64",10720,6,9,0,0,5,0,3,2,3,4,34
"65",10720,6,10,0,0,4,1,5,2,4,4,34
"66",10720,6,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"67",10720,7,1,NA,0,NA,NA,NA,NA,NA,NA,NA
"68",10720,7,2,NA,0,NA,NA,NA,NA,NA,NA,NA
"69",10720,7,3,NA,0,NA,NA,NA,NA,NA,NA,NA
"70",10720,7,4,NA,0,NA,NA,NA,NA,NA,NA,NA
"71",10720,7,5,NA,0,NA,NA,NA,NA,NA,NA,NA
"72",10720,7,6,NA,0,NA,NA,NA,NA,NA,NA,NA
"73",10720,7,7,NA,0,NA,NA,NA,NA,NA,NA,NA
"74",10720,7,8,NA,0,NA,NA,NA,NA,NA,NA,NA
"75",10720,7,9,NA,0,NA,NA,NA,NA,NA,NA,NA
"76",10720,7,10,NA,0,NA,NA,NA,NA,NA,NA,NA
"77",10720,7,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"78",10720,8,1,NA,0,NA,NA,NA,NA,NA,NA,NA
"79",10720,8,2,NA,0,NA,NA,NA,NA,NA,NA,NA
"80",10720,8,3,NA,0,NA,NA,NA,NA,NA,NA,NA
"81",10720,8,4,NA,0,NA,NA,NA,NA,NA,NA,NA
"82",10720,8,5,NA,0,NA,NA,NA,NA,NA,NA,NA
"83",10720,8,6,NA,0,NA,NA,NA,NA,NA,NA,NA
"84",10720,8,7,NA,0,NA,NA,NA,NA,NA,NA,NA
"85",10720,8,8,NA,0,NA,NA,NA,NA,NA,NA,NA
"86",10720,8,9,NA,0,NA,NA,NA,NA,NA,NA,NA
"87",10720,8,10,NA,0,NA,NA,NA,NA,NA,NA,NA
"88",10720,8,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"89",10720,9,1,NA,0,NA,NA,NA,NA,NA,NA,NA
"90",10720,9,2,NA,0,NA,NA,NA,NA,NA,NA,NA
"91",10720,9,3,NA,0,NA,NA,NA,NA,NA,NA,NA
"92",10720,9,4,NA,0,NA,NA,NA,NA,NA,NA,NA
"93",10720,9,5,NA,0,NA,NA,NA,NA,NA,NA,NA
"94",10720,9,6,NA,0,NA,NA,NA,NA,NA,NA,NA
"95",10720,9,7,NA,0,NA,NA,NA,NA,NA,NA,NA
"96",10720,9,8,NA,0,NA,NA,NA,NA,NA,NA,NA
"97",10720,9,9,NA,0,NA,NA,NA,NA,NA,NA,NA
"98",10720,9,10,NA,0,NA,NA,NA,NA,NA,NA,NA
"99",10720,9,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"100",10720,10,1,NA,0,NA,NA,NA,NA,NA,NA,NA
"101",10720,10,2,NA,0,NA,NA,NA,NA,NA,NA,NA
"102",10720,10,3,NA,0,NA,NA,NA,NA,NA,NA,NA
"103",10720,10,4,NA,0,NA,NA,NA,NA,NA,NA,NA
"104",10720,10,5,NA,0,NA,NA,NA,NA,NA,NA,NA
"105",10720,10,6,NA,0,NA,NA,NA,NA,NA,NA,NA
"106",10720,10,7,NA,0,NA,NA,NA,NA,NA,NA,NA
"107",10720,10,8,NA,0,NA,NA,NA,NA,NA,NA,NA
"108",10720,10,9,NA,0,NA,NA,NA,NA,NA,NA,NA
"109",10720,10,10,NA,0,NA,NA,NA,NA,NA,NA,NA
"110",10720,10,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"155",10720,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"156",10720,1,2,0,1,6,2,2,2,1,6,34
"157",10720,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA
"158",10720,1,4,0,1,5,2,2,1,1,6,34
"159",10720,1,5,0,1,6,3,1,1,1,6,34
"160",10720,1,6,0,1,6,3,1,1,1,6,34
"161",10720,1,7,0,1,6,2,1,1,1,6,34
"162",10720,1,8,0,1,6,0,2,1,2,6,34
"163",10720,1,9,NA,1,NA,NA,NA,NA,NA,NA,NA
"164",10720,1,10,NA,1,NA,NA,NA,NA,NA,NA,NA
"165",10720,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"166",10720,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"167",10720,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA
"168",10720,2,3,0,1,6,3,2,1,1,6,34
"169",10720,2,4,0,1,6,-2,2,1,1,6,34
"170",10720,2,5,0,1,6,0,2,1,1,6,34
"171",10720,2,6,0,1,6,-2,1,1,1,6,34
"172",10720,2,7,0,1,6,0,1,1,1,6,34
"173",10720,2,8,0,1,5,0,1,1,1,6,34
"174",10720,2,9,0,1,6,0,1,1,1,6,34
"175",10720,2,10,NA,1,NA,NA,NA,NA,NA,NA,NA
"176",10720,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"177",10720,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"178",10720,3,2,0,1,6,-1,1,1,1,5,34
"179",10720,3,3,0,1,5,0,2,2,2,5,34
"180",10720,3,4,0,1,5,0,1,1,1,6,34
"181",10720,3,5,NA,1,NA,NA,NA,NA,NA,NA,NA
"182",10720,3,6,NA,1,NA,NA,NA,NA,NA,NA,NA
"183",10720,3,7,0,1,6,2,NA,1,1,5,34
"184",10720,3,8,0,1,6,3,1,1,2,6,34
"185",10720,3,9,0,1,6,3,1,1,1,6,34
"186",10720,3,10,0,1,6,2,1,1,1,6,34
"187",10720,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"188",10720,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"189",10720,4,2,0,1,5,2,1,1,1,5,34
"190",10720,4,3,0,1,5,0,1,1,1,5,34
"191",10720,4,4,0,1,5,2,1,1,1,5,34
"192",10720,4,5,0,1,6,3,1,1,1,6,34
"193",10720,4,6,0,1,6,3,1,1,1,6,34
"194",10720,4,7,0,1,6,3,1,1,1,6,34
"195",10720,4,8,0,1,6,2,1,1,1,6,34
"196",10720,4,9,0,1,6,3,1,1,1,6,34
"197",10720,4,10,0,1,5,3,NA,1,2,4,34
"198",10720,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"199",10720,5,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"200",10720,5,2,0,1,6,2,1,1,1,6,34
"201",10720,5,3,0,1,6,0,1,1,1,6,34
"202",10720,5,4,0,1,6,2,1,1,1,6,34
"203",10720,5,5,0,1,5,0,1,1,1,6,34
"204",10720,5,6,0,1,6,0,1,1,1,6,34
"205",10720,5,7,0,1,6,3,1,1,1,6,34
"206",10720,5,8,0,1,6,2,1,1,1,6,34
"207",10720,5,9,0,1,7,2,1,1,1,6,34
"208",10720,5,10,0,1,7,2,1,1,1,6,34
"209",10720,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
