ID;KWAAD;KWAAD_1;DEPRE;DEPRE_1;DROEV;DROEV_1;ANGST;ANGST_1;ONTSP;ONTSP_1;BLIJ;BLIJ_1;ID;Neuroticism score
2;1;9999;5;9999;12;9999;1;9999;83;9999;49;9999;2;3.5
2;21;1;21;5;20;12;1;1;40;83;31;49;3;1.5
2;1;21;38;21;58;20;22;1;52;40;20;31;4;6.5
2;9999;1;9999;38;9999;58;9999;22;9999;52;9999;20;6;5.5
2;1;9999;1;9999;1;9999;1;9999;81;9999;73;9999;8;2
2;1;9999;1;9999;1;9999;1;9999;83;9999;41;9999;9;2.5
2;1;1;1;1;1;1;1;1;81;83;40;41;10;1
2;1;1;1;1;1;1;1;1;80;81;30;40;12;2
2;1;1;1;1;1;1;1;1;31;80;22;30;13;2.5
2;1;1;1;1;1;1;1;1;83;31;65;22;20;4.5
2;1;1;1;1;1;1;1;1;78;83;41;65;23;6.5
2;1;1;1;1;1;1;21;1;41;78;81;41;26;3.5
2;1;1;1;1;1;1;1;21;75;41;81;81;28;3
2;1;1;1;1;1;1;1;1;100;75;100;81;31;3.5
2;1;9999;1;9999;1;9999;1;9999;67;9999;41;9999;34;2.5
2;1;1;1;1;1;1;1;1;25;67;21;41;38;2.5
2;1;1;9;1;7;1;8;1;30;25;21;21;39;3
2;1;1;1;9;1;7;1;8;63;30;1;21;41;1
2;1;1;1;1;1;1;1;1;82;63;59;1;43;6
2;1;1;1;1;1;1;1;1;69;82;69;59;46;2.5
2;1;1;1;1;1;1;1;1;74;69;78;69;47;2
2;39;1;1;1;1;1;10;1;22;74;41;78;48;3
2;1;39;1;1;31;1;20;10;44;22;29;41;52;3
2;1;1;1;1;21;31;22;20;35;44;40;29;57;3.5
2;1;9999;1;9999;1;9999;1;9999;68;9999;51;9999;74;2.5
2;1;1;1;1;1;1;1;1;52;68;49;51;82;3
2;1;1;1;1;1;1;27;1;46;52;53;49;84;4.5
2;10;1;1;1;1;1;1;27;31;46;72;53;90;2
2;1;10;1;1;1;1;9;1;32;31;63;72;105;4
2;1;1;1;1;1;1;10;9;38;32;73;63;107;7
2;9999;1;9999;1;9999;1;9999;10;9999;38;9999;73;124;5.5
2;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;125;3.5
2;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;128;4.5
2;18;9999;14;9999;19;9999;1;9999;88;9999;84;9999;154;2.5
2;1;9999;1;9999;1;9999;1;9999;68;9999;73;9999;162;3
2;1;1;1;1;1;1;1;1;75;68;79;73;172;4.5
2;1;1;1;1;1;1;1;1;55;75;79;79;173;2.5
2;1;1;1;1;1;1;1;1;53;55;60;79;181;4
2;1;1;1;1;1;1;1;1;46;53;72;60;184;5.5
2;1;1;1;1;1;1;1;1;51;46;54;72;186;1.5
2;1;1;1;1;1;1;1;1;71;51;41;54;195;3.5
2;1;1;1;1;1;1;1;1;38;71;67;41;202;3.5
2;1;1;1;1;1;1;1;1;45;38;60;67;236;2
2;1;9999;1;9999;1;9999;1;9999;40;9999;81;9999;239;1
2;1;1;1;1;1;1;1;1;60;40;61;81;258;6
2;1;1;1;1;1;1;1;1;68;60;75;61;259;2
2;1;1;49;1;1;1;1;1;61;68;80;75;271;1.5
2;1;1;1;49;1;1;1;1;62;61;50;80;281;3.5
2;1;1;1;1;1;1;1;1;42;62;52;50;288;6.5
2;1;1;1;1;21;1;1;1;47;42;59;52;300;1.5
2;1;1;1;1;13;21;1;1;70;47;53;59;306;1
2;1;1;1;1;31;13;1;1;70;70;59;53;323;1.5
2;1;1;1;1;1;31;1;1;83;70;66;59;332;3
2;1;9999;1;9999;16;9999;1;9999;60;9999;59;9999;352;4.5
2;1;1;1;1;20;16;1;1;42;60;52;59;359;4
2;1;1;1;1;1;20;1;1;50;42;60;52;364;5
2;1;1;1;1;1;1;1;1;66;50;79;60;367;2.5
2;1;1;1;1;1;1;1;1;72;66;75;79;370;3.5
2;1;1;1;1;1;1;11;1;49;72;83;75;376;2
2;1;1;1;1;1;1;1;11;50;49;81;83;379;2
2;1;1;1;1;1;1;1;1;72;50;68;81;392;2.5
2;1;1;1;1;1;1;1;1;72;72;68;68;394;4
3;8;9999;10;9999;16;9999;7;9999;89;9999;63;9999;398;3.5
3;10;8;1;10;13;16;16;7;61;89;77;63;405;4.5
3;1;10;16;1;16;13;2;16;65;61;64;77;407;7
3;15;1;1;16;10;16;1;2;62;65;82;64;426;3.5
3;1;15;1;1;26;10;1;1;91;62;62;82;430;2
3;17;1;1;1;15;26;1;1;47;91;77;62;435;2.5
3;12;17;1;1;1;15;14;1;59;47;93;77;447;5
3;8;9999;15;9999;9;9999;9;9999;56;9999;51;9999;449;5.5
