subjno,dayno,beep,group,emo1_m,emo2_m,emo3_m,emo4_m,emo5_m,emo6_m,emo7_m,emo8_m
1,1,1,2,79,64,30,74,19,7,8,58
1,1,2,2,,,,,,,,
1,1,3,2,20,24,37,36,62,41,73,67
1,1,4,2,25,24,33,29,42,68,77,81
1,1,5,2,37,24,40,17,35,36,12,76
1,1,6,2,,,,,,,,
1,2,1,2,,,,,,,,
1,2,2,2,64,39,36,41,36,28,35,59
1,2,3,2,62,70,23,64,61,20,31,16
1,2,4,2,77,71,20,62,31,17,23,56
1,2,5,2,66,70,33,69,34,33,61,33
1,2,6,2,,,,,,,,
1,3,1,2,78,71,72,62,61,9,14,26
1,3,2,2,76,64,69,70,59,25,26,22
1,3,3,2,64,33,34,36,40,57,33,64
1,3,4,2,73,58,60,69,32,22,23,27
1,3,5,2,76,70,78,83,19,18,24,22
1,3,6,2,19,20,22,27,69,61,81,86
1,4,1,2,68,64,33,66,31,22,16,79
1,4,2,2,64,37,63,70,21,27,22,31
1,4,3,2,81,73,65,93,15,12,10,65
1,4,4,2,79,72,100,95,19,14,16,5
1,4,5,2,100,77,71,83,21,22,18,23
1,4,6,2,83,80,84,99,67,16,18,20
1,5,1,2,36,36,68,35,57,0,61,60
1,5,2,2,98,81,83,93,9,8,12,6
1,5,3,2,86,73,71,78,28,20,19,82
1,5,4,2,98,69,80,94,18,15,9,66
1,5,5,2,67,7,19,62,28,27,27,26
1,5,6,2,50,58,58,31,14,21,72,73
1,6,1,2,22,31,33,42,86,24,88,27
1,6,2,2,85,81,61,66,8,23,18,27
1,6,3,2,78,62,78,73,72,17,23,31
1,6,4,2,84,77,85,81,27,66,23,73
1,6,5,2,,,,,,,,
1,6,6,2,86,79,95,100,22,30,15,24
1,7,1,2,97,72,70,96,15,12,7,23
1,7,2,2,,,,,,,,
1,7,3,2,81,27,76,83,25,17,0,21
1,7,4,2,,,,,,,,
1,7,5,2,93,77,87,79,18,16,17,18
1,7,6,2,70,87,64,90,28,74,10,22
1,8,1,2,89,86,91,81,27,28,20,31
1,8,2,2,,,,,,,,
1,8,3,2,,,,,,,,
1,8,4,2,81,76,85,85,22,27,20,28
1,8,5,2,,,,,,,,
1,8,6,2,88,92,70,81,66,81,17,2
1,9,1,2,,,,,,,,
1,9,2,2,,,,,,,,
1,9,3,2,,,,,,,,
1,9,4,2,83,82,89,88,20,12,16,23
1,9,5,2,,,,,,,,
1,9,6,2,,,,,,,,
1,10,1,2,,,,,,,,
1,10,2,2,89,29,65,77,26,27,26,24
1,10,3,2,77,16,25,78,71,24,25,71
1,10,4,2,72,75,77,73,29,19,24,70
1,10,5,2,79,24,35,76,28,18,64,64
1,10,6,2,67,12,27,29,79,18,83,75
1,11,1,2,100,84,93,97,68,0,0,22
1,11,2,2,79,76,84,74,33,44,6,98
1,11,3,2,82,87,88,84,16,15,12,14
1,11,4,2,17,24,23,30,0,5,78,82
1,11,5,2,84,31,26,35,78,3,74,19
1,11,6,2,79,81,82,100,24,0,15,69
1,12,1,2,81,74,16,83,0,17,24,21
1,12,2,2,87,96,94,97,29,4,18,0
1,12,3,2,94,90,91,100,12,0,20,0
1,12,4,2,100,91,100,100,71,8,0,14
1,12,5,2,64,21,22,14,91,0,0,100
1,12,6,2,,,,,,,,
1,13,1,2,81,24,25,81,0,0,78,74
1,13,2,2,92,18,27,78,47,0,0,24
1,13,3,2,100,78,76,87,0,1,3,20
1,13,4,2,82,85,86,88,19,64,19,69
1,13,5,2,,,,,,,,
1,13,6,2,,,,,,,,
1,14,1,2,89,75,91,92,69,22,0,76
1,14,2,2,84,73,85,70,13,1,20,74
1,14,3,2,83,13,72,87,16,0,33,78
1,14,4,2,,,,,,,,
1,14,5,2,92,8,74,80,17,0,28,85
1,14,6,2,86,25,25,75,65,0,29,73
1,15,1,2,88,82,84,90,16,1,0,77
1,15,2,2,,,,,,,,
1,15,3,2,,,,,,,,
1,15,4,2,89,76,100,93,18,17,0,79
1,15,5,2,28,24,15,19,90,84,83,100
1,15,6,2,31,23,26,10,84,100,85,100
1,16,1,2,,,,,,,,
1,16,2,2,,,,,,,,
1,16,3,2,89,91,92,92,8,4,8,34
1,16,4,2,86,82,87,90,7,5,7,10
1,16,5,2,83,0,91,86,100,100,16,21
1,16,6,2,,,,,,,,
1,17,1,2,70,18,26,82,22,0,5,0
1,17,2,2,83,21,6,16,15,76,78,27
1,17,3,2,93,86,90,100,0,7,13,71
1,17,4,2,100,90,77,86,16,71,0,23
1,17,5,2,89,29,86,97,31,11,77,26
1,17,6,2,,,,,,,,
1,18,1,2,86,82,86,93,73,17,11,77
1,18,2,2,95,77,79,94,68,0,69,63
1,18,3,2,85,82,92,92,24,9,10,17
1,18,4,2,21,6,25,19,72,85,90,90
1,18,5,2,90,84,23,29,0,95,67,67
1,18,6,2,,,,,,,,
1,19,1,2,71,28,65,82,68,13,81,26
1,19,2,2,79,76,94,71,27,8,23,20
1,19,3,2,10,15,0,18,90,82,91,91
1,19,4,2,71,23,22,69,73,75,63,28
1,19,5,2,,,,,,,,
1,19,6,2,,,,,,,,
1,20,1,2,83,64,68,75,67,26,17,78
1,20,2,2,11,25,0,34,24,98,86,75
1,20,3,2,18,29,87,72,16,16,73,77
1,20,4,2,64,17,68,29,62,63,75,66
1,20,5,2,57,80,67,68,28,76,11,18
1,20,6,2,87,99,76,100,26,18,20,13
1,21,1,2,79,79,24,40,8,65,5,24
1,21,2,2,70,36,23,66,27,23,78,24
1,21,3,2,69,80,26,69,26,60,28,31
1,21,4,2,76,25,8,66,19,66,66,15
1,21,5,2,,,,,,,,
1,21,6,2,75,74,71,70,27,21,11,26
1,22,1,2,74,78,68,71,78,13,17,13
1,22,2,2,66,29,17,67,11,8,68,13
1,22,3,2,78,6,19,79,14,19,70,63
1,22,4,2,83,78,71,92,8,7,7,22
1,22,5,2,75,79,67,69,25,21,10,24
1,22,6,2,73,67,71,69,19,16,25,22
1,23,1,2,,,,,,,,
1,23,2,2,77,78,20,79,12,3,14,15
1,23,3,2,89,85,77,77,25,24,14,6
1,23,4,2,90,84,77,99,9,100,6,9
1,23,5,2,85,81,80,93,14,9,7,12
1,23,6,2,83,89,78,83,11,8,11,11
1,24,1,2,80,76,76,83,5,6,0,20
1,24,2,2,,,,,,,,
1,24,3,2,,,,,,,,
1,24,4,2,80,84,84,76,14,8,0,11
1,24,5,2,94,96,98,87,8,6,10,15
1,24,6,2,100,86,74,76,14,67,12,17
1,25,1,2,79,79,74,75,98,12,16,76
1,25,2,2,93,81,75,82,14,77,10,21
1,25,3,2,25,24,18,82,21,64,16,78
1,25,4,2,,,,,,,,
1,25,5,2,,,,,,,,
1,25,6,2,,,,,,,,
1,26,1,2,,,,,,,,
1,26,2,2,,,,,,,,
1,26,3,2,87,78,25,80,24,99,66,27
1,26,4,2,64,34,67,82,13,92,40,3
1,26,5,2,,,,,,,,
1,26,6,2,,,,,,,,
1,27,1,2,83,15,16,11,76,82,59,85
