id,smaas,group,yoga,meditation,t_oad,t_pad,t_nad,c_oad,c_pad,c_nad,c_pa_nad,t_happy,t_excited,t_relaxed,t_satisfied,t_angry,t_anxious,t_depressed,t_sad,mind,both_mind,gm_smaas,gc_smaas,group_mind,smaas_mind,group_both_mind,smaas_both_mind
1,4.067029,1,1,1,.084424958,.084457539,.084392369,.14208925,.19022803,.073619224,.14971346,.074976355,.080953993,.07846719,.10343261,.038142655,.068306051,.10091154,.13020924,0,0,4.7575555,-.69052649,0,0,0,0
2,4.3078556,1,1,1,.11119289,.10784464,.11454114,.14996552,.1733402,.082688645,.16642886,.12957917,.086291619,.088762015,.12674576,.10340308,.091539167,.1595182,.10370412,0,0,4.7575555,-.44969988,0,0,0,0
3,5.3643789,0,1,1,.090635814,.090082347,.09118928,.1739786,.28677249,.24337588,.1056569,.077451348,.10047179,.098464206,.083942048,.07110171,.12413573,.062599935,.10691977,0,0,4.7575555,.60682344,0,0,0,0
4,2.7926357,0,1,1,.11426228,.1083398,.12018476,.1210325,.20061585,.13764507,.084959023,.08577235,.08927121,.12587802,.13243762,.10147494,.12003415,.11381485,.14541507,0,0,4.7575555,-1.9649198,0,0,0,0
6,3.5501022,1,1,1,.11113458,.10826555,.11400361,.17331083,.23099677,.21179797,.13724592,.12840292,.084572032,.10687453,.11321273,.12673301,.11139944,.10615995,.11172203,0,0,4.7575555,-1.2074533,0,0,0,0
7,4.9079938,1,1,1,.078838997,.0772186,.080459394,.1397973,.26739123,.16766649,.08149863,.076792061,.058098994,.094922982,.079060376,.062567756,.052599095,.1114675,.095203221,0,0,4.7575555,.15043831,0,0,0,0
8,3.2420092,1,1,1,.079588808,.065698847,.093478769,.12988316,.22729893,.21900971,.059929781,.081468597,.058422685,.061897445,.061006673,.10380618,.076602735,.083503552,.11000261,0,0,4.7575555,-1.5155463,0,0,0,0
10,4.2935009,1,1,1,.12553284,.11669234,.13437334,.15273835,.2460241,.19312407,.10261156,.12393259,.10581125,.13036084,.1066647,.13271216,.10350801,.14149749,.15977567,0,0,4.7575555,-.46405458,0,0,0,0
11,3.5601218,1,1,1,.091321535,.091279425,.091363646,.12991661,.11332014,.12345913,.13856183,.10764884,.077290162,.094154648,.086024038,.080564559,.099198706,.086142488,.099548854,0,0,4.7575555,-1.1974337,0,0,0,0
12,5.6133332,1,1,1,.069128916,.066779472,.071478352,.12695767,.17991421,.20848584,.076525912,.054293025,.072801009,.054137137,.085886709,.05831971,.057207491,.08349669,.086889528,0,0,4.7575555,.85577774,0,0,0,0
13,3.6666667,1,1,1,.09864372,.11210556,.085181884,.11946752,.19325972,.17234533,.071966276,.12371729,.14050996,.097904094,.086290866,.079022862,.10452698,.06746237,.089715332,0,0,4.7575555,-1.0908887,0,0,0,0
14,5.920188,0,1,1,.081994064,.089251965,.07473617,.19263461,.25704384,.26004106,.14320375,.12168042,.10429386,.072705947,.058327634,.037265278,.076158971,.053928621,.13159181,0,0,4.7575555,1.1626325,0,0,0,0
15,5.9597425,0,1,1,.11188805,.096359126,.12741698,.17128062,.25905019,.15286177,.1452741,.11723376,.093214139,.091284774,.083703823,.10802931,.17213501,.11609935,.11340423,0,0,4.7575555,1.2021871,0,0,0,0
18,3.9047618,0,1,1,.12697417,.12548199,.12846634,.21033286,.23588555,.20223115,.20378874,.085884131,.1366251,.10235325,.17706548,.13339661,.15466554,.04304307,.18276015,0,0,4.7575555,-.85279369,0,0,0,0
19,4.2708335,1,1,1,.085633412,.07613115,.095135666,.13130736,.20117579,.1437546,.100439,.054005049,.10683749,.079713523,.063968547,.10488307,.079435989,.072257735,.12396586,0,0,4.7575555,-.48672199,0,0,0,0
21,5.2078853,0,1,1,.09521576,.090995811,.099435709,.16178715,.18401133,.18414679,.14506821,.10829795,.091003701,.078622147,.086059436,.095217831,.10507847,.08932513,.10812141,0,0,4.7575555,.45032978,0,0,0,0
22,4.4740739,1,2,2,.085931674,.083581977,.088281363,.18962583,.19274987,.26295802,.16095476,.060545903,.069495641,.12800369,.076282673,.060880043,.079264648,.12020279,.09277799,1,1,4.7575555,-.2834816,1,-.2834816,1,-.2834816
23,4.3797979,1,1,1,.10924938,.089837648,.1286611,.13618684,.20063378,.19636378,.089452885,.081309624,.082649626,.11317932,.082212023,.092222482,.13778649,.15018448,.13445091,0,0,4.7575555,-.37775755,0,0,0,0
24,4.3970857,1,1,1,.10717532,.10779338,.10655726,.12418575,.18953593,.11498477,.1031298,.11692034,.089311242,.10646799,.11847397,.10871348,.08954373,.12481879,.10315302,0,0,4.7575555,-.36046982,0,0,0,0
25,5.4082398,0,1,1,.11605568,.13922344,.092887916,.098801441,.18506435,.073596887,.075904563,.1779222,.13046916,.12947045,.11903197,.076458357,.05841605,.083668478,.15300879,0,0,4.7575555,.65068436,0,0,0,0
26,5.9819818,0,1,1,.080623657,.085306615,.075940698,.11702541,.1186286,.19111279,.088641442,.066640519,.078943498,.087664053,.1079784,.069022439,.085577346,.088226631,.060936369,0,0,4.7575555,1.2244263,0,0,0,0
27,4.7114196,0,1,1,.098098449,.10640918,.089787729,.11994201,.24136023,.13977298,.06697356,.10705468,.13654834,.11363555,.068398125,.083357044,.080579929,.10659456,.088619374,0,0,4.7575555,-.046135902,0,0,0,0
28,4.0163045,0,1,1,.090278178,.089019328,.091537029,.14516027,.22173846,.18225275,.10253377,.07640288,.11626071,.063497715,.099916026,.10028232,.10307919,.087411553,.075375043,0,0,4.7575555,-.74125099,0,0,0,0
