id;neuro;extra;opene;agree;consc
80000;83;96;102;99;92
80010;113;62;116;102;87
80011;91;91;98;91;94
80030;52;98;147;124;101
80031;89;78;130;98;119
80040;120;85;125;96;82
80041;136;90;137;136;52
80050;92;61;124;124;100
80051;116;86;113;124;80
80060;79;105;126;137;118
80061;118;91;111;104;80
80070;87;90;103;95;88
80071;94;109;128;104;118
80081;128;97;123;102;98
80090;118;65;121;113;77
80091;119;91;132;132;103
80101;104;83;123;102;112
80110;91;77;92;95;89
80111;72;133;122;113;117
80130;75;90;107;106;101
80131;113;81;110;103;63
80140;51;113;139;124;143
80141;59;115;122;140;140
80150;83;97;100;101;114
80151;100;89;99;93;90
80160;110;106;114;110;71
80161;98;77;105;117;69
80170;94;92;130;126;104
80171;97;111;119;98;125
80190;71;99;100;106;116
80191;85;86;102;126;114
80200;52;117;101;128;126
80201;105;86;80;143;126
80210;96;80;96;84;99
80220;76;93;88;130;134
80221;96;87;119;126;101
80230;77;101;102;124;121
80231;124;62;90;117;75
80240;116;87;125;110;86
80241;93;78;125;137;111
80260;66;65;124;143;138
80261;128;85;140;132;46
80270;65;81;75;104;127
80271;99;83;101;106;104
80280;81;101;112;95;124
80281;64;110;107;142;132
80290;66;104;141;115;126
80291;150;81;139;91;54
80300;127;74;114;120;55
80301;109;102;131;83;78
80310;104;78;125;131;104
80311;104;105;143;111;105
80320;99;108;137;116;97
80321;120;96;130;104;101
80340;64;88;103;109;116
80341;89;79;93;103;125
80360;121;36;88;117;68
80361;100;72;108;106;113
80380;88;81;145;127;112
80381;83;108;113;103;117
80390;58;125;131;102;117
80391;114;93;142;82;138
80410;52;101;106;122;123
80411;115;87;110;77;108
80421;116;78;85;109;85
80430;100;90;99;111;113
80431;109;112;104;94;73
80440;73;104;100;112;123
80441;116;65;109;96;56
80460;85;92;128;110;105
80461;51;96;115;122;125
80471;115;97;133;125;70
80481;104;87;119;128;137
80491;90;87;96;92;87
80501;63;96;128;117;116
80520;120;86;127;111;71
80521;85;66;113;124;79
80530;89;84;123;107;88
80531;123;100;104;94;78
80541;77;114;129;102;67
80550;97;86;125;92;94
80551;118;121;142;126;118
80560;81;94;122;116;122
80570;48;110;130;119;131
80571;87;82;121;131;123
80580;98;80;134;114;104
80581;124;103;123;118;111
80590;77;85;123;123;116
80600;123;112;146;96;89
80610;75;83;129;117;81
80611;64;102;133;130;130
80620;82;80;88;88;124
80621;90;87;106;107;119
80630;54;96;126;119;119
80631;119;96;125;79;121
80640;55;92;114;133;140
80641;97;83;76;115;117
80650;70;113;128;101;106
80651;86;92;108;141;114
80660;88;96;129;84;125
80661;91;86;91;98;89
80670;69;128;139;85;75
80671;72;133;117;107;104
80690;106;86;85;96;94
80691;116;77;139;123;105
80701;71;94;118;95;107
80710;110;87;106;80;112
80711;92;85;99;136;113
80720;91;81;136;127;103
80721;132;74;114;105;82
80740;67;106;120;126;115
80741;97;102;130;113;104
80750;97;89;119;124;110
80751;39;101;127;113;143
80780;64;105;115;111;120
80781;110;77;118;108;113
80820;58;76;81;123;101
80821;89;105;119;119;129
80830;83;95;100;95;96
80831;102;88;95;80;86
80840;64;108;114;105;109
80841;106;89;97;101;103
80861;72;104;117;127;127
80870;105;104;124;100;98
80871;114;81;126;100;113
80880;67;89;105;72;126
80881;126;97;97;119;121
80910;84;98;142;130;106
80911;88;115;133;142;77
80920;89;89;99;92;97
80921;82;93;94;104;108
80930;85;116;107;123;113
80931;101;117;153;124;140
80940;68;96;99;120;112
80941;82;76;97;89;84
80951;107;95;87;116;107
80960;87;100;126;98;132
80961;81;101;105;121;99
80981;83;86;102;101;83
80991;56;107;133;126;124
81000;55;102;116;127;151
81010;63;93;113;109;120
81011;93;106;144;128;116
81021;87;89;96;95;85
81030;90;86;96;92;88
81031;90;86;96;92;88
81040;66;105;91;98;127
81041;103;114;121;110;79
81060;73;81;88;94;104
81070;67;111;108;113;109
81071;108;100;105;124;105
81080;88;111;141;131;87
81081;79;96;143;120;96
